acquisition        取得，购得                                    
protocol           条约草案；礼仪；外交礼节；协定；加入协定         
prototype          原型，最初态                                   
provable           可以证明的；能证实的                           
provably           可验证性的                                    
quadratic          平方的，二次项                                 
quartile           四分位数                                      
reason about       推断                                          
reduction          还原；降低；减少                               
redundant          多余的，冗余的                                 
referee            裁判员，裁定，担任裁判                          
reiterate          重申，重复说                                   
relieve            缓和，解救                                    
render             提供；给予；                                   
repertoire         全部技能                                      
resemblance        相似性                                        
residual           残余的                                        
resilient          有弹性的，有适应力的，可恢复的                  
retrieve           找回，取回，恢复                               
retrofit           改进，翻新                                    
revamp             翻修，改造                                    
rigorous           谨慎的；彻底的；严格的                          
saliency           显著性；特色；凸出                             
sanitize           净化，消毒                                    
sanity             理智；明智；精神健全；                          
saturation         饱和，饱和度                                   
scatter            撒；四散；驱散；撒播；散落                      
self-containment   自我控制                                      
self-evident       不言而喻的                                    
semicolon          分号                                          
shed               摆脱，去除，脱落，工棚                          
shifter            变速箱，移位器，移相器                          
showcase           展示，展示场所，橱窗                           
side-step          规避                                          
sift               筛，筛选                                      
silver bullet      好主意                                        
sloppy             马虎的，凌乱的                                 
snippet            片段                                          
solver             解决者；求解器                                 
spatial            空间的                                        
spectacular        壮观的；壮丽的                                 
spurious           虚假的，谬误的，伪造的                          
stake              股份；桩；赌注；用...冒险                    
stance             立场，站姿，姿态                               
stirring           忙碌的，活跃的                                 
strip              带子，夺走，被拿走外皮的                        
subtler            精巧的；微妙的；狡猾的；不易察觉的               
subvert            破坏，颠覆，使背叛                             
succinct           简明的；言简意赅的                             
summation          总结；概括；综合体                             
superscript        标在上角的，上标                               
susceptible        敏感的，易受影响的                             
tactic             策略，战术                                    
tamper             篡改，干预，干扰，夯实者                        
tandem             串联                                          
tantalizingly      令人着急地，诱人地                             
taxonomy           分类学，分类法                                 
tedious            冗长的；啰嗦的                                 
template           模板；样板；                                   
temporal           时间的                                        
tentatively        初步地，尝试性地                               
terminology        术语                                          
thwart             横放的                                        
transductive       转换                                          
trapezoidal        梯形                                          
traversal          遍历，障碍物                                   
traverse           产国，横渡，横断的，遍历，导线，横切，可横越之处  
tremendous         巨大的；极大的；                               
unify              统一；使成一体；使一元化                        
usher              引座员；引导                                   
veracity           真实性，诚实                                   
verbose            冗长的；啰嗦的；                               
verdict            判决，结论                                    
versatile          多才多艺的，多用途的，通用的                    
vindictive         报复性的                                      
violation          违反                                          
wildcard           通配符                                        
